MC_Bin      Toa         TimeEnd            Mag     PW    Freq     Fmin     Fmax    Fmop   Phase01  CW   PhaseSegs  Thres FileSeek
28        39424.00     40448.00      64.8 1024.00   70.31   70.31   70.31 0  145.88 0 1    62.4      19712 
13       192000.00    193024.00      63.1 1024.00   99.61   99.61   99.61 0   99.93 0 1    62.1      96000 
5       162304.00    262144.00      79.7 99840.00  115.23  115.23  115.23 0   -2.44 0 193    69.8      81152 
22       810496.00    811520.00      60.7 1024.00   82.03   82.03   82.03 0   11.25 0 1    60.5     405248 
1       933376.00    934400.00      66.4 1024.00  123.05  123.05  123.05 0  154.93 0 1    59.1     466688 
5      1186816.00   1286144.00      79.8 99328.00  115.23  115.23  115.23 0    0.42 0 193    67.9     593408 
15      1646080.00   1647104.00      60.9 1024.00   95.70   95.70   95.70 0  -90.40 0 1    59.2     823040 
21      1809408.00   1810944.00      64.7 1536.00   83.98   83.98   83.98 0   -5.46 0 1    62.6     904704 
10      1957888.00   1958912.00      67.2 1024.00  105.47  105.47  105.47 0   75.23 0 1    66.5     978944 
5      2210816.00   2310656.00      79.7 99840.00  115.23  115.23  115.23 0    2.44 0 194    66.4    1105408 
28      2604544.00   2606080.00      63.4 1536.00   70.31   70.31   70.31 0   56.40 0 2    57.4    1302272 
1      3323392.00   3324416.00      63.9 1024.00  123.05  123.05  123.05 0   -6.42 0 1    63.3    1661696 
5      3234816.00   3334656.00      79.5 99840.00  115.23  115.23  115.23 0    0.91 0 193    67.1    1617408 
5      4258816.00   4358656.00      79.5 99840.00  115.23  115.23  115.23 0   -0.51 0 194    67.7    2129408 
22      4432896.00   4433920.00      64.8 1024.00   82.03   82.03   82.03 0   34.86 0 1    62.5    2216448 
9      4489728.00   4490752.00      65.0 1024.00  107.42  107.42  107.42 0  126.70 0 1    64.3    2244864 
28      4609536.00   4610560.00      64.5 1024.00   70.31   70.31   70.31 0  -70.31 0 1    61.7    2304768 
2      4682240.00   4683264.00      65.6 1024.00  121.09  121.09  121.09 0   20.28 0 1    64.2    2341120 
3      4932608.00   4933632.00      63.0 1024.00  119.14  119.14  119.14 0   83.91 0 1    62.9    2466304 
23      5109248.00   5110784.00      65.4 1536.00   80.08   80.08   80.08 0   87.27 0 2    58.3    2554624 
19      5128704.00   5129728.00      67.0 1024.00   87.89   87.89   87.89 0 -111.67 0 1    62.8    2564352 
11      5134848.00   5136384.00      62.1 1536.00  103.52  103.52  103.52 0  -47.09 0 1    61.7    2567424 
5      5283328.00   5382656.00      79.4 99328.00  115.23  115.23  115.23 0    1.37 0 193    71.2    2641664 
2      6028288.00   6029312.00      64.9 1024.00  121.09  121.09  121.09 0   -4.93 0 1    63.3    3014144 
20      6102016.00   6103040.00      61.4 1024.00   85.94   85.94   85.94 0 -164.14 0 1    59.6    3051008 
19      6174208.00   6175232.00      63.3 1024.00   87.89   87.89   87.89 0   50.24 0 1    60.7    3087104 
12      6208000.00   6209024.00      66.0 1024.00  101.56  101.56  101.56 0  173.21 0 1    61.6    3104000 
27      6290432.00   6291456.00      64.5 1024.00   72.27   72.27   72.27 0  -64.97 0 1    63.2    3145216 
5      6307328.00   6407168.00      79.5 99840.00  115.23  115.23  115.23 0    1.16 0 194    70.7    3153664 
5      7331328.00   7431168.00      79.5 99840.00  115.23  115.23  115.23 0   -0.49 0 194    70.0    3665664 
27      7576064.00   7577088.00      68.3 1024.00   72.27   72.27   72.27 0 -103.99 0 1    66.1    3788032 
2      7938048.00   7939072.00      67.3 1024.00  121.09  121.09  121.09 0  144.92 0 1    62.7    3969024 
5      8355840.00   8455168.00      79.6 99328.00  115.23  115.23  115.23 0   -0.36 0 193    70.2    4177920 
1      8516608.00   8517632.00      67.0 1024.00  123.05  123.05  123.05 0  157.41 0 1    62.6    4258304 
1      9067008.00   9068032.00      63.2 1024.00  123.05  123.05  123.05 0 -165.44 0 1    61.8    4533504 
5      9379840.00   9479168.00      79.5 99328.00  115.23  115.23  115.23 0   -1.33 0 193    66.6    4689920 
12      9852928.00   9853952.00      64.5 1024.00  101.56  101.56  101.56 0  -60.22 0 1    63.2    4926464 
5      10403840.00   10503680.00      79.5 99840.00  115.23  115.23  115.23 0   -8.68 0 194    68.4    5201920 
11      10734592.00   10736128.00      59.5 1536.00  103.52  103.52  103.52 0   28.09 0 1    58.7    5367296 
14      10787328.00   10788352.00      63.9 1024.00   97.66   97.66   97.66 0  -26.34 0 1    62.2    5393664 
8      10967040.00   10968064.00      65.2 1024.00  109.38  109.38  109.38 0  -81.82 0 1    61.1    5483520 
29      11356672.00   11358208.00      64.5 1536.00   68.36   68.36   68.36 0 -101.34 0 1    59.9    5678336 
28      11387392.00   11388416.00      61.4 1024.00   70.31   70.31   70.31 0 -156.68 0 1    60.3    5693696 
5      11427840.00   11527680.00      79.5 99840.00  115.23  115.23  115.23 0   -3.43 0 194    67.7    5713920 
13      11590144.00   11591168.00      62.8 1024.00   99.61   99.61   99.61 0  -50.16 0 1    61.4    5795072 
11      12115456.00   12116480.00      61.4 1024.00  103.52  103.52  103.52 0  161.11 0 1    60.3    6057728 
